[2, -3, -26, -5, -1, 0, 25, 0]
[2, -6, 4, -11, -8, -6, -1, -2]
[1, -10, -6, 15, 3, 1, -8, 2]
[-5, -4, -9, -2, -2, -2, -9, -6]
[-1, 13, 7, 1, -4, -5, -33, -3]
[-7, 2, -7, -8, 0, 5, 42, 0]
[6, -8, 6, 8, 5, 4, 22, -5]
[1, -8, 1, 4, 2, 2, -2, 5]
[4, 10, -8, -3, -1, -4, -7, 3]
[-6, 7, 9, 5, 7, 9, 6, -3]
[-4, 3, 1, -12, -3, -5, -13, -1]
[1, -2, -7, -2, -4, -8, -13, -3]
[4, 0, 15, 2, 6, 12, 53, 1]
[1, -1, -1, 4, -1, -3, -22, -3]
[0, 4, -6, -7, -3, -4, -7, 0]
[-1, -13, 0, -3, -4, -5, 11, -5]
[3, -1, -2, -2, 0, 3, -1, 12]
[5, 0, 2, 0, -4, -2, -11, 0]
[1, -7, -4, -2, -5, -1, 1, 3]
[-2, 7, 5, -3, -4, -4, -15, -4]
[3, 4, -7, -2, -1, 3, 24, 2]
[-2, 1, -2, -2, 1, 1, -10, 1]
[-1, -7, 7, 3, 1, 0, 1, -2]
[-4, -11, -13, -4, -5, -16, -20, 0]
[2, 15, 8, 5, 4, 5, -6, 0]
[-2, 1, 4, -2, 1, -2, -10, -6]
[6, -1, -7, -2, 1, 6, 1, 2]
[-4, -1, 0, 1, 0, 2, -4, 0]
[-4, -5, 3, 0, 0, -1, -9, -1]
[-2, -2, -10, 0, -4, -8, 3, 2]
[-6, 1, 6, 0, -4, -5, -13, -4]
[5, -5, -21, -5, -1, 0, 10, -1]
[4, -16, 26, 3, 1, -4, -2, 1]
[-2, -9, -9, -3, -3, 2, -2, -12]
[-3, 4, 5, -2, -3, -3, 3, 2]
[-8, -9, 4, 0, 2, 1, -9, -7]
[-2, 21, -15, 0, 0, -1, -2, 0]
[9, -1, 0, -5, -3, -4, -1, 0]
[-1, -5, 0, 5, 3, 11, 29, 0]
[1, 1, 7, -7, -4, -1, -9, -3]
[-5, -9, 9, 2, -1, -4, -17, -7]
[-3, 1, -28, 3, 1, 4, 5, 5]
[-6, -5, 12, 1, -1, -8, -16, -9]
[3, 5, 9, 2, -2, 5, -3, -6]
[-1, -11, -11, -1, 3, 2, 29, 30]
[-9, 10, 9, 1, 3, 11, 46, -15]
[4, -2, -9, -2, -2, -2, 3, 6]
[-2, 0, 4, 3, 2, -3, 1, -4]
[0, 2, 2, -4, -2, -1, -26, -5]
[-1, 0, 4, 1, -1, -2, -3, 7]
[1, -11, -8, -2, -4, -6, -22, -21]
[-7, 2, 15, 2, 1, 3, 27, 7]
[3, -2, -22, -4, -6, -2, 25, -4]
[-4, -20, 7, -6, -2, -2, -39, -4]
[1, 8, 1, -8, 0, 4, -1, 15]
[4, 2, -11, 10, -4, -6, -13, 8]
