[-3, -2, -1, 1, 1, 0, -3, -2]
[-8, -4, 0, 0, 1, -2, -1, -2]
[6, 1, -4, -3, -5, -6, -5, -3]
[-3, 0, 1, -1, 0, -2, -4, -2]
[-8, -3, 3, 4, 4, 3, 6, 0]
[5, -11, -4, -1, 0, 1, -3, -1]
[3, 17, 2, 1, 0, 1, -1, 0]
[-6, -2, 1, 1, 1, 1, 2, 1]
[4, 2, -2, -4, -2, -1, -7, 0]
[4, -5, -3, -4, -6, -14, -15, -4]
[-5, -6, 1, 1, 5, 8, 8, 2]
[-1, -3, -3, 0, 1, 1, 7, -4]
[4, -2, -3, -3, -4, -5, -12, -1]
[-3, 4, 1, 1, -1, -1, 11, 0]
[-7, -6, 0, 1, 1, 19, -16, -4]
[5, 2, -1, -1, 1, -19, -4, 6]
[1, 0, -3, -1, -4, 7, 11, 1]
[-2, 4, 1, 0, 4, 4, -5, -1]
[-1, -3, -2, -2, -5, -5, -3, -1]
[2, -3, -3, -1, -4, 1, 3, -2]
[-9, -4, 1, 0, 1, 0, -2, -2]
[6, -3, -4, -6, -6, -8, -6, -4]
[0, 3, 2, 0, 1, 4, -11, 0]
[-10, -3, 3, 4, 4, 0, 13, -1]
[8, 2, -3, -2, 0, 7, -5, 0]
[2, 5, -1, 0, 0, -9, -15, 5]
[-8, -14, -3, 2, 1, 0, 2, 0]
[4, 7, -2, -4, -3, 0, -7, -2]
[5, 11, 4, -4, -8, -16, -17, -5]
[-9, -2, -7, 0, 3, 16, 20, -2]
[1, -2, 2, -2, 0, -3, -4, -2]
[4, -12, -12, -1, -5, -6, -8, -3]
[-1, 1, -1, -1, 0, -1, 8, 0]
[-6, -4, 3, 2, 1, 2, 4, 0]
[2, 3, 0, -3, -1, -3, -3, 0]
[2, 2, 1, -1, -1, 0, 0, 3]
[-5, -2, -1, 2, 2, -1, 4, 1]
[-1, -3, 1, -1, -3, 6, 7, -5]
[3, 0, -3, -2, -1, -9, 1, 0]
[-1, 3, 3, 2, 4, 12, -7, 1]
[-3, -7, -2, -2, -2, 0, 0, 0]
[2, -1, -1, -2, -1, -5, -12, -2]
[-1, 4, 0, -1, -3, 0, 7, -1]
[-5, -2, -3, 0, 1, 0, -13, -2]
[0, -2, 0, 0, -2, -19, -6, -1]
[-1, 0, 7, 0, 1, 13, 6, 1]
[-1, 2, 5, -2, 0, 4, 22, 0]
[4, 1, -6, 3, 1, 1, -4, 2]
[-1, -3, 1, 0, 0, 5, -2, 1]
[-1, 1, -3, -2, -1, -13, -7, -2]
[0, -2, -2, -1, 0, 1, 4, 1]
[-1, -1, 3, -3, -1, 0, 8, -3]
[-2, 0, 1, 1, 0, -1, -3, -2]
[-3, 1, 2, 1, 2, 5, 0, 4]
[-1, 0, -1, 0, -1, -3, -17, -1]
[-1, -2, -3, -3, -2, -3, 7, -1]
[-2, -3, -2, -1, -2, 5, -1, -2]
[1, -2, -1, -3, -6, -6, -1, -2]
[-1, -1, -2, -1, 0, 1, -4, 1]
